diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.00000000,0.09799260,0.01659646,0.13579848
100.00100083,0.09698754,0.01559222,0.13479304
100.00200167,0.09598979,0.01459528,0.13379491
100.00300250,0.09498477,0.01359108,0.13278952
100.00400334,0.09397978,0.01258690,0.13178414
100.00500417,0.09298209,0.01159002,0.13078607
100.00600500,0.09197713,0.01058588,0.12978074
100.00700584,0.09097948,0.00958904,0.12878271
100.00800667,0.08997456,0.00858494,0.12777741
100.00900751,0.08897695,0.00758814,0.12677942
100.01000834,0.08797207,0.00658408,0.12577417
100.01100917,0.08697450,0.00558732,0.12477622
100.01201001,0.08596967,0.00458330,0.12377100
100.01301084,0.08496485,0.00357931,0.12276581
100.01401168,0.08396734,0.00258260,0.12176792
100.01501251,0.08296256,0.00157865,0.12076276
100.01601334,0.08196509,0.00058198,0.11976491
100.01701418,0.08096036,-0.00042193,0.11875980
100.01801501,0.07996292,-0.00141856,0.11776199
100.01901585,0.07895823,-0.00242243,0.11675692
100.02001668,0.07796083,-0.00341902,0.11575915
100.02101751,0.07695618,-0.00442285,0.11475411
100.02201835,0.07595155,-0.00542667,0.11374910
100.02301918,0.07495421,-0.00642319,0.11275139
100.02402002,0.07394962,-0.00742697,0.11174642
100.02502085,0.07295233,-0.00842345,0.11074875
100.02602168,0.07194777,-0.00942719,0.10974381
100.02702252,0.07095052,-0.01042363,0.10874618
100.02802335,0.06994601,-0.01142733,0.10774129
100.02902419,0.06894879,-0.01242373,0.10674370
100.03002502,0.06794432,-0.01342739,0.10573885
100.03102585,0.06693987,-0.01443102,0.10473402
100.03202669,0.06594271,-0.01542737,0.10373648
100.03302752,0.06493830,-0.01643096,0.10273169
100.03402836,0.06394119,-0.01742726,0.10173420
100.03502919,0.06293681,-0.01843082,0.10072945
100.03603003,0.06193974,-0.01942708,0.09973200
100.03703086,0.06093541,-0.02043060,0.09872729
100.03803169,0.05993837,-0.02142682,0.09772988
100.03903253,0.05893408,-0.02243030,0.09672521
100.04003336,0.05793709,-0.02342648,0.09572783
100.04103420,0.05693283,-0.02442992,0.09472320
100.04203503,0.05592860,-0.02543333,0.09371859
100.04303586,0.05493167,-0.02642946,0.09272128
100.04403670,0.05392748,-0.02743283,0.09171671
100.04503753,0.05293058,-0.02842892,0.09071944
100.04603837,0.05192643,-0.02943225,0.08971491
100.04703920,0.05092958,-0.03042829,0.08871768
100.04804003,0.04992546,-0.03143159,0.08771319
100.04904087,0.04892865,-0.03242759,0.08671600
100.05004170,0.04792458,-0.03343085,0.08571155
100.05104254,0.04692053,-0.03443408,0.08470712
100.05204337,0.04592377,-0.03543003,0.08370998
100.05304420,0.04491976,-0.03643322,0.08270559
100.05404504,0.04392305,-0.03742913,0.08170850
100.05504587,0.04291908,-0.03843228,0.08070415
100.05604671,0.04192240,-0.03942815,0.07970710
100.05704754,0.04091847,-0.04043126,0.07870279
100.05804837,0.03992183,-0.04142708,0.07770578
100.05904921,0.03891794,-0.04243016,0.07670151
100.06005004,0.03791407,-0.04343321,0.07569726
100.06105088,0.03691750,-0.04442898,0.07470031
100.06205171,0.03591367,-0.04543199,0.07369610
100.06305254,0.03491713,-0.04642772,0.07269919
100.06405338,0.03391334,-0.04743069,0.07169502
100.06505421,0.03291685,-0.04842638,0.07069815
100.06605505,0.03191310,-0.04942931,0.06969402
100.06705588,0.03091664,-0.05042495,0.06869718
100.06805671,0.02991293,-0.05142785,0.06769310
100.06905755,0.02890924,-0.05243072,0.06668903
100.07005838,0.02791285,-0.05342631,0.06569225
100.07105922,0.02690920,-0.05442914,0.06468823
100.07206005,0.02591284,-0.05542469,0.06369149
100.07306088,0.02490923,-0.05642748,0.06268751
100.07406172,0.02391291,-0.05742299,0.06169081
100.07506255,0.02290935,-0.05842574,0.06068686
100.07606339,0.02191307,-0.05942121,0.05969021
100.07706422,0.02090954,-0.06042392,0.05868630
100.07806505,0.01990603,-0.06142661,0.05768242
100.07906589,0.01890981,-0.06242202,0.05668582
100.08006672,0.01790635,-0.06342467,0.05568198
100.08106756,0.01691017,-0.06442004,0.05468542
100.08206839,0.01590674,-0.06542265,0.05368161
100.08306922,0.01491060,-0.06641798,0.05268510
100.08407006,0.01390721,-0.06742055,0.05168133
100.08507089,0.01291112,-0.06841584,0.05068486
100.08607173,0.01190777,-0.06941837,0.04968113
100.08707256,0.01090444,-0.07042088,0.04867743
100.08807339,0.00990840,-0.07141611,0.04768101
100.08907423,0.00890512,-0.07241858,0.04667735
100.09007506,0.00790912,-0.07341377,0.04568097
100.09107590,0.00690587,-0.07441620,0.04467734
100.09207673,0.00590991,-0.07541135,0.04368101
100.09307756,0.00490670,-0.07641374,0.04267742
100.09407840,0.00391079,-0.07740885,0.04168113
100.09507923,0.00290762,-0.07841120,0.04067758
100.09608007,0.00191174,-0.07940627,0.03968133
100.09708090,0.00090861,-0.08040858,0.03867782
100.09808173,-0.00009449,-0.08141087,0.03767434
100.09908257,-0.00109031,-0.08240588,0.03667814
100.10008340,-0.00209338,-0.08340813,0.03567469
100.10108424,-0.00308916,-0.08440310,0.03467854
100.10208507,-0.00409219,-0.08540531,0.03367513
100.10308590,-0.00508793,-0.08640024,0.03267902
100.10408674,-0.00609091,-0.08740242,0.03167565
100.10508757,-0.00708661,-0.08839730,0.03067958
100.10608841,-0.00808956,-0.08939944,0.02967625
100.10708924,-0.00909249,-0.09040155,0.02867295
100.10809008,-0.01008813,-0.09139638,0.02767693
100.10909091,-0.01109101,-0.09239845,0.02667367
100.11009174,-0.01208661,-0.09339324,0.02567769
100.11109258,-0.01308946,-0.09439527,0.02467446
100.11209341,-0.01408502,-0.09539002,0.02367853
100.11309425,-0.01508782,-0.09639201,0.02267534
100.11409508,-0.01608334,-0.09738672,0.02167945
100.11509591,-0.01708611,-0.09838867,0.02067630
100.11609675,-0.01808886,-0.09939060,0.01967318
100.11709758,-0.01908432,-0.10038525,0.01867734
100.11809842,-0.02008702,-0.10138715,0.01767426
100.11909925,-0.02108244,-0.10238176,0.01667846
100.12010008,-0.02208511,-0.10338361,0.01567541
100.12110092,-0.02308049,-0.10437818,0.01467966
100.12210175,-0.02408312,-0.10537999,0.01367665
100.12310259,-0.02507846,-0.10637452,0.01268094
100.12410342,-0.02608104,-0.10737629,0.01167797
100.12510425,-0.02708361,-0.10837804,0.01067503
100.12610509,-0.02807889,-0.10937251,0.00967937
100.12710592,-0.02908142,-0.11037423,0.00867646
100.12810676,-0.03007666,-0.11136866,0.00768085
100.12910759,-0.03107914,-0.11237033,0.00667798
100.13010842,-0.03207435,-0.11336472,0.00568241
100.13110926,-0.03307679,-0.11436635,0.00467958
100.13211009,-0.03407195,-0.11536070,0.00368404
100.13311093,-0.03507436,-0.11636229,0.00268126
100.13411176,-0.03607675,-0.11736386,0.00167850
100.13511259,-0.03707185,-0.11835816,0.00068302
100.13611343,0.20002030,0.11873481,0.23777479
100.13711426,0.19902287,0.11773818,0.23677698
100.13811510,0.19801818,0.11673431,0.23577191
100.13911593,0.19702078,0.11573772,0.23477414
100.14011676,0.19601613,0.11473388,0.23376911
100.14111760,0.19501878,0.11373734,0.23277138
100.14211843,0.19401417,0.11273354,0.23176639
100.14311927,0.19300957,0.11172977,0.23076142
100.14412010,0.19201228,0.11073328,0.22976375
100.14512093,0.19100773,0.10972954,0.22875882
100.14612177,0.19001048,0.10873310,0.22776119
100.14712260,0.18900596,0.10772940,0.22675630
100.14812344,0.18800875,0.10673300,0.22575871
100.14912427,0.18700428,0.10572934,0.22475386
100.15012510,0.18600710,0.10473298,0.22375631
100.15112594,0.18500267,0.10372936,0.22275150
100.15212677,0.18400554,0.10273304,0.22175399
100.15312761,0.18300115,0.10172946,0.22074922
100.15412844,0.18199678,0.10072590,0.21974447
100.15512927,0.18099970,0.09972964,0.21874702
100.15613011,0.17999537,0.09872612,0.21774231
100.15713094,0.17899834,0.09772990,0.21674490
100.15813178,0.17799405,0.09672642,0.21574023
100.15913261,0.17699705,0.09573023,0.21474286
100.16013344,0.17599280,0.09472680,0.21373823
100.16113428,0.17499585,0.09373065,0.21274090
100.16213511,0.17399164,0.09272726,0.21173631
100.16313595,0.17298744,0.09172388,0.21073174
100.16413678,0.17199055,0.09072779,0.20973447
100.16513761,0.17098640,0.08972446,0.20872995
100.16613845,0.16998955,0.08872841,0.20773272
100.16713928,0.16898543,0.08772512,0.20672823
100.16814012,0.16798862,0.08672911,0.20573104
100.16914095,0.16698455,0.08572585,0.20472659
100.17014178,0.16598777,0.08472989,0.20372944
100.17114262,0.16498374,0.08372667,0.20272503
100.17214345,0.16397973,0.08272348,0.20172064
100.17314429,0.16298302,0.08172757,0.20072355
100.17414512,0.16197905,0.08072441,0.19971920
100.17514595,0.16098237,0.07972855,0.19872215
100.17614679,0.15997844,0.07872543,0.19771784
100.17714762,0.15898181,0.07772960,0.19672083
100.17814846,0.15797792,0.07672653,0.19571656
100.17914929,0.15698132,0.07573074,0.19471959
100.18015013,0.15597747,0.07472771,0.19371536
100.18115096,0.15497364,0.07372469,0.19271115
100.18215179,0.15397711,0.07272896,0.19171424
100.18315263,0.15297332,0.07172599,0.19071008
100.18415346,0.15197682,0.07073030,0.18971320
100.18515430,0.15097307,0.06972736,0.18870908
100.18615513,0.14997661,0.06873172,0.18771224
100.18715596,0.14897291,0.06772882,0.18670816
100.18815680,0.14797649,0.06673321,0.18571137
100.18915763,0.14697282,0.06573036,0.18470732
100.19015847,0.14596917,0.06472752,0.18370329
100.19115930,0.14497281,0.06373197,0.18270656
100.19216013,0.14396920,0.06272918,0.18170257
100.19316097,0.14297289,0.06173367,0.18070588
100.19416180,0.14196932,0.06073092,0.17970193
100.19516264,0.14097304,0.05973545,0.17870528
100.19616347,0.13996951,0.05873273,0.17770137
100.19716430,0.13897328,0.05773730,0.17670476
100.19816514,0.13796979,0.05673463,0.17570089
100.19916597,0.13696632,0.05573197,0.17469704
100.20016681,0.13597014,0.05473660,0.17370049
100.20116764,0.13496671,0.05373399,0.17269669
100.20216847,0.13397057,0.05273866,0.17170017
100.20316931,0.13296718,0.05173609,0.17069641
100.20417014,0.13197109,0.05074080,0.16969993
100.20517098,0.13096774,0.04973826,0.16869621
100.20617181,0.12997168,0.04874301,0.16769977
100.20717264,0.12896837,0.04774052,0.16669609
100.20817348,0.12797235,0.04674531,0.16569969
100.20917431,0.12696908,0.04574285,0.16469605
100.21017515,0.12596584,0.04474042,0.16369242
100.21117598,0.12496988,0.04374527,0.16269608
100.21217681,0.12396667,0.04274287,0.16169250
100.21317765,0.12297075,0.04174776,0.16069620
100.21417848,0.12196758,0.04074541,0.15969266
100.21517932,0.12097170,0.03975033,0.15869640
100.21618015,0.11996857,0.03874802,0.15769290
100.21718098,0.11897274,0.03775299,0.15669668
100.21818182,0.11796965,0.03675071,0.15569322
100.21918265,0.11696658,0.03574846,0.15468977
100.22018349,0.11597080,0.03475349,0.15369362
100.22118432,0.11496777,0.03375127,0.15269021
100.22218515,0.11397203,0.03275634,0.15169410
100.22318599,0.11296904,0.03175417,0.15069073
100.22418682,0.11197334,0.03075927,0.14969465
100.22518766,0.11097040,0.02975714,0.14869133
100.22618849,0.10997474,0.02876229,0.14769529
100.22718932,0.10897183,0.02776019,0.14669201
100.22819016,0.10796894,0.02675812,0.14568874
100.22919099,0.10697334,0.02576333,0.14469277
100.23019183,0.10597049,0.02476129,0.14368954
100.23119266,0.10497493,0.02376654,0.14269360
100.23219349,0.10397212,0.02276454,0.14169042
100.23319433,0.10297660,0.02176983,0.14069452
100.23419516,0.10197383,0.02076788,0.13969138
100.23519600,0.10097835,0.01977320,0.13869552
100.23619683,0.09997562,0.01877129,0.13769241
100.23719766,0.09897292,0.01776940,0.13668933
100.23819850,0.09797750,0.01677478,0.13569353
100.23919933,0.09697483,0.01577293,0.13469049
100.24020017,0.09597945,0.01477835,0.13369473
100.24120100,0.09497682,0.01377654,0.13269173
100.24220183,0.09398148,0.01278200,0.13169601
100.24320267,0.09297889,0.01178023,0.13069304
100.24420350,0.09198359,0.01078573,0.12969737
100.24520434,0.09098104,0.00978400,0.12869444
100.24620517,0.08997851,0.00878229,0.12769153
100.24720601,0.08898327,0.00778785,0.12669592
100.24820684,0.08798078,0.00678618,0.12569305
100.24920767,0.08698558,0.00579178,0.12469747
100.25020851,0.08598313,0.00479015,0.12369465
100.25120934,0.08498797,0.00379579,0.12269911
100.25221018,0.08398556,0.00279420,0.12169633
100.25321101,0.08299044,0.00179988,0.12070083
100.25421184,0.08198807,0.00079833,0.11969808
100.25521268,0.08098572,-0.00020321,0.11869536
100.25621351,0.07999066,-0.00119746,0.11769992
100.25721435,0.07898835,-0.00219896,0.11669723
100.25821518,0.07799333,-0.00319318,0.11570183
100.25921601,0.07699106,-0.00419463,0.11469919
100.26021685,0.07599608,-0.00518881,0.11370383
100.26121768,0.07499385,-0.00619022,0.11270122
100.26221852,0.07399890,-0.00718436,0.11170591
100.26321935,0.07299672,-0.00818573,0.11070334
100.26422018,0.07200181,-0.00917983,0.10970806
100.26522102,0.07099966,-0.01018117,0.10870554
100.26622185,0.06999754,-0.01118248,0.10770303
100.26722269,0.06900269,-0.01217652,0.10670781
100.26822352,0.06800060,-0.01317779,0.10570535
100.26922435,0.06700580,-0.01417179,0.10471017
100.27022519,0.06600375,-0.01517303,0.10370774
100.27122602,0.06500898,-0.01616698,0.10271260
100.27222686,0.06400698,-0.01716818,0.10171021
100.27322769,0.06301225,-0.01816210,0.10071511
100.27422852,0.06201028,-0.01916325,0.09971277
100.27522936,0.06100834,-0.02016439,0.09871044
100.27623019,0.06001367,-0.02115825,0.09771540
100.27723103,0.05901176,-0.02215934,0.09671312
100.27823186,0.05801714,-0.02315316,0.09571812
100.27923269,0.05701527,-0.02415422,0.09471587
100.28023353,0.05602068,-0.02514800,0.09372091
100.28123436,0.05501885,-0.02614901,0.09271870
100.28223520,0.05402431,-0.02714275,0.09172378
100.28323603,0.05302252,-0.02814373,0.09072162
100.28423686,0.05202075,-0.02914468,0.08971947
100.28523770,0.05102626,-0.03013836,0.08872461
100.28623853,0.05002454,-0.03113928,0.08772251
100.28723937,0.04903009,-0.03213292,0.08672768
100.28824020,0.04802840,-0.03313379,0.08572562
100.28924103,0.04703399,-0.03412740,0.08473083
100.29024187,0.04603235,-0.03512823,0.08372881
100.29124270,0.04503798,-0.03612179,0.08273407
100.29224354,0.04403637,-0.03712259,0.08173208
100.29324437,0.04303478,-0.03812336,0.08073012
100.29424520,0.04204047,-0.03911686,0.07973543
100.29524604,0.04103893,-0.04011760,0.07873351
100.29624687,0.04004466,-0.04111106,0.07773886
100.29724771,0.03904315,-0.04211176,0.07673698
100.29824854,0.03804892,-0.04310518,0.07574237
100.29924937,0.03704745,-0.04410584,0.07474053
100.30025021,0.03605326,-0.04509922,0.07374596
100.30125104,0.03505183,-0.04609983,0.07274416
100.30225188,0.03405043,-0.04710043,0.07174238
100.30325271,0.03305629,-0.04809375,0.07074787
100.30425354,0.03205493,-0.04909431,0.06974613
100.30525438,0.03106084,-0.05008759,0.06875166
100.30625521,0.03005951,-0.05108811,0.06774996
100.30725605,0.02906546,-0.05208135,0.06675553
100.30825688,0.02806417,-0.05308183,0.06575386
100.30925771,0.02707016,-0.05407503,0.06475948
100.31025855,0.02606891,-0.05507547,0.06375785
100.31125938,0.02506768,-0.05607588,0.06275625
100.31226022,0.02407373,-0.05706903,0.06176192
100.31326105,0.02307254,-0.05806941,0.06076036
100.31426188,0.02207863,-0.05906251,0.05976607
100.31526272,0.02107748,-0.06006285,0.05876454
100.31626355,0.02008361,-0.06105591,0.05777030
100.31726439,0.01908250,-0.06205621,0.05676881
100.31826522,0.01808867,-0.06304924,0.05577460
100.31926606,0.01708760,-0.06404949,0.05477316
100.32026689,0.01609381,-0.06504248,0.05377899
100.32126772,0.01509278,-0.06604270,0.05277759
100.32226856,0.01409177,-0.06704289,0.05177620
100.32326939,0.01309804,-0.06803582,0.05078209
100.32427023,0.01209707,-0.06903598,0.04978075
100.32527106,0.01110338,-0.07002886,0.04878668
100.32627189,0.01010245,-0.07102898,0.04778537
100.32727273,0.00910879,-0.07202183,0.04679134
100.32827356,0.00810790,-0.07302191,0.04579008
100.32927440,0.00711429,-0.07401471,0.04479609
100.33027523,0.00611344,-0.07501475,0.04379486
100.33127606,0.00511261,-0.07601477,0.04279366
100.33227690,0.00411906,-0.07700752,0.04179973
100.33327773,0.00311827,-0.07800749,0.04079856
100.33427857,0.00212475,-0.07900020,0.03980467
100.33527940,0.00112400,-0.08000014,0.03880355
100.33628023,0.00013053,-0.08099281,0.03780970
100.33728107,-0.00087018,-0.08199271,0.03680861
100.33828190,-0.00186362,-0.08298534,0.03581480
100.33928274,-0.00286429,-0.08398519,0.03481376
100.34028357,-0.00386493,-0.08498503,0.03381273
100.34128440,-0.00485831,-0.08597760,0.03281898
100.34228524,-0.00585892,-0.08697740,0.03181799
100.34328607,-0.00685226,-0.08796993,0.03082428
100.34428691,-0.00785283,-0.08896969,0.02982334
100.34528774,-0.00884612,-0.08996218,0.02882966
100.34628857,-0.00984665,-0.09096190,0.02782876
100.34728941,-0.01083991,-0.09195435,0.02683512
100.34829024,-0.01184040,-0.09295403,0.02583426
100.34929108,-0.01284087,-0.09395368,0.02483341
100.35029191,-0.01383407,-0.09494608,0.02383984
100.35129274,-0.01483450,-0.09594569,0.02283903
100.35229358,-0.01582766,-0.09693805,0.02184550
100.35329441,-0.01682804,-0.09793763,0.02084473
100.35429525,-0.01782116,-0.09892994,0.01985124
100.35529608,-0.01882151,-0.09992948,0.01885051
100.35629691,-0.01981459,-0.10092175,0.01785706
100.35729775,-0.02081490,-0.10192125,0.01685637
100.35829858,-0.02181519,-0.10292073,0.01585571
100.35929942,-0.02280821,-0.10391294,0.01486231
100.36030025,-0.02380846,-0.10491238,0.01386169
100.36130108,-0.02480144,-0.10590456,0.01286833
100.36230192,-0.02580165,-0.10690395,0.01186775
100.36330275,-0.02679459,-0.10789609,0.01087443
100.36430359,-0.02779476,-0.10889545,0.00987388
100.36530442,-0.02878767,-0.10988754,0.00888061
100.36630525,-0.02978780,-0.11088686,0.00788010
100.36730609,-0.03078791,-0.11188616,0.00687961
100.36830692,-0.03178075,-0.11287820,0.00588640
100.36930776,-0.03278082,-0.11387746,0.00488595
100.37030859,-0.03377362,-0.11486945,0.00389277
100.37130942,-0.03477365,-0.11586867,0.00289237
100.37231026,-0.03576641,-0.11686063,0.00189923
100.37331109,-0.03676640,-0.11785981,0.00089886
100.37431193,0.19977036,0.11867776,0.23743525
100.37531276,0.19876803,0.11767624,0.23643255
100.37631359,0.19777299,0.11668200,0.23543713
100.37731443,0.19677070,0.11568053,0.23443447
100.37831526,0.19576844,0.11467907,0.23343182
100.37931610,0.19477345,0.11368490,0.23243647
100.38031693,0.19377123,0.11268348,0.23143386
100.38131776,0.19277628,0.11168934,0.23043855
100.38231860,0.19177410,0.11068797,0.22943598
100.38331943,0.19077919,0.10969387,0.22844070
100.38432027,0.18977705,0.10869253,0.22743818
100.38532110,0.18878218,0.10769847,0.22644294
100.38632193,0.18778007,0.10669718,0.22544046
100.38732277,0.18677799,0.10569590,0.22443800
100.38832360,0.18578318,0.10470190,0.22344282
100.38932444,0.18478114,0.10370067,0.22244040
100.39032527,0.18378637,0.10270671,0.22144526
100.39132611,0.18278437,0.10170551,0.22044287
